ID,材料名,分量
703001,鶏レバー,300g
703001,酒,大さじ1
703001,しょうゆ,小さじ2
703001,「丸鶏がらスープ」,小さじ2
703001,片栗粉,大さじ2
703001,玉ねぎ,1個
703001,ゆでたけのこ,80g
703001,セロリ・大,1/2本
703001,ねぎ,1/2本
703001,にら,1/4束
703001,黄にら,1/4束
703001,しょうゆ,大さじ3
703001,酒,大さじ2
703001,砂糖,小さじ2
703001,「AJINOMOTOごま油好きの純正ごま油」,小さじ1・1/2
703001,うま味調味料「味の素®」,少々
703001,こしょう,少々
703001,「AJINOMOTO大豆の油健康プラス」,適量
703001,「AJINOMOTOごま油好きの純正ごま油」,少々
703002,木綿豆腐,1丁（300g）
703002,豚ひき肉,100g
703002,ねぎのみじん切り・大さじ2,20g
703002,しょうがのみじん切り,1かけ分
703002,にんにくのみじん切り,1かけ分
703002,「AJINOMOTOサラダ油」,大さじ2
703002,「CookDo」熟成豆板醤,小さじ1（5g）
703002,酒,大さじ1
703002,しょうゆ,大さじ1
703002,砂糖,小さじ2
703002,「CookDo」甜麺醤,小さじ2（10g）
703002,「丸鶏がらスープ」,小さじ1
703002,水,2/3カップ
703002,片栗粉,大さじ1
703002,水,大さじ1
703002,「AJINOMOTOごま油好きの純正ごま油」,小さじ1/2
703002,香菜,少々
703003,卵,3個
703003,かに缶,1缶
703003,ゆでたけのこ,30g
703003,長ねぎ,1/3本分（20g）
703003,しいたけ,2枚
703003,「CookDo香味ペースト」,12cm（8.5g）
703003,「AJINOMOTOサラダ油」,大さじ2
703003,小ねぎの小口切り,適量
703004,鶏骨つきもも肉,500g
703004,ねぎ,10cm
703004,おろしにんにく,1かけ分
703004,おろししょうが,2/3かけ分
703004,しょうゆ,大さじ2
703004,酒,大さじ1
703004,砂糖,小さじ2
703004,うま味調味料「味の素®」,少々
703004,片栗粉,大さじ5
703004,にんにくの薄切り,適量
703004,「AJINOMOTO大豆の油健康プラス」,適量
703004,香菜,適量
703004,サラダ菜,適量
703005,むきえび（大）,350g
703005,玉ねぎ,1/4個（50g）
703005,サンドイッチ用食パン,6枚
703005,酒,大さじ1
703005,「瀬戸のほんじお」,小さじ1
703005,しょうが汁,小さじ1
703005,卵白,1/2個分
703005,うま味調味料「味の素®」,少々
703005,片栗粉,大さじ2
703005,卵白,少々
703005,「AJINOMOTO大豆の油健康プラス」,適量
703005,香菜,適量
703005,レモン・くし形切り,1/2個
703006,えび,12尾
703006,酒,小さじ2
703006,うま味調味料「味の素®」,少々
703006,「瀬戸のほんじお」,少々
703006,こしょう,少々
703006,卵白,2個分
703006,薄力粉,大さじ3
703006,片栗粉,大さじ2
703006,水,適量
703006,サラダ菜,3枚
703006,「AJINOMOTOサラダ油」,適量
703006,トマト・飾り切り,1個
703006,パセリ,適量
703007,れんこん,1節
703007,豚ひき肉,100g
703007,むきえび（小）,100g
703007,卵白,1/2個分
703007,酒,大さじ1
703007,片栗粉,小さじ1
703007,しょうゆ,小さじ1/2
703007,しょうが汁,小さじ1/2
703007,うま味調味料「味の素®」,少々
703007,「瀬戸のほんじお」,少々
703007,片栗粉,適量
703007,卵白,1・1/2個分
703007,片栗粉,大さじ6
703007,水,大さじ6
703007,「AJINOMOTO大豆の油健康プラス」,適量
703007,きゅうり・薄切り,適量
703007,パイナップル缶・半月切り,1枚
703007,さくらんぼ缶,2個
703007,花椒塩,少々
703008,鶏むね肉（皮つき）,1枚（250g）
703008,水,1/2カップ
703008,酒,大さじ2
703008,ねぎの青い部分,5cm
703008,しょうがの皮,少々
703008,「瀬戸のほんじお」,少々
703008,きゅうり,2本
703008,トマト,1個
703008,練り白ごま・クリームタイプ,大さじ4
703008,砂糖,大さじ1
703008,酢,大さじ3
703008,しょうゆ,大さじ2
703008,ねぎのみじん切り,大さじ4
703008,しょうがのみじん切り,小さじ1
703008,鶏肉の蒸し汁,大さじ1
703008,うま味調味料「味の素®」,少々
703009,きゅうり,2本
703009,赤唐がらし（乾）,1本
703009,しょうがのせん切り,少々
703009,しょうがのせん切り,1かけ分
703009,酢,大さじ4
703009,砂糖,大さじ4
703009,しょうゆ,大さじ1
703009,「AJINOMOTOごま油好きの純正ごま油」,小さじ2
703009,ラー油,小さじ1
703010,もち米,3カップ
703010,豚もも肉・かたまり,200g
703010,ゆでたけのこ,1/2本（75g）
703010,にんじん,1/3本
703010,干ししいたけ,4枚
703010,酒,大さじ1
703010,「丸鶏がらスープ」,大さじ1
703010,砂糖,小さじ1
703010,「瀬戸のほんじお」,小さじ1/2
703010,しょうゆ,大さじ1・1/2
703010,「AJINOMOTO大豆の油健康プラス」,適量
703010,グリンピース水煮缶,大さじ3
703011,ご飯,800g
703011,焼き豚,150g
703011,ゆでたけのこ,1/2本（75g）
703011,干ししいたけ,4枚
703011,卵,2個
703011,「瀬戸のほんじお」,小さじ1/2
703011,こしょう,少々
703011,ねぎ・みじん切り,1/3本分
703011,しょうが・みじん切り,1かけ分
703011,「瀬戸のほんじお」,少々
703011,こしょう,少々
703011,「丸鶏がらスープ」,大さじ1・1/2
703011,酒,大さじ2
703011,しょうゆ,小さじ2
703011,「瀬戸のほんじお」,小さじ1/3
703011,こしょう,少々
703011,「AJINOMOTO大豆の油健康プラス」,大さじ3
703011,小ねぎ・小口切り,適量
703012,中華めん,4玉
703012,もやし,1/2袋
703012,ねぎ,1/2本
703012,焼き豚,8枚
703012,味つきメンマ,20g
703012,酒,大さじ4
703012,しょうゆ,大さじ3
703012,「丸鶏がらスープ」,大さじ2・1/2
703012,「AJINOMOTOごま油好きの純正ごま油」,小さじ1
703012,「瀬戸のほんじお」,小さじ1/3
703012,こしょう,少々
703012,水,6カップ
703013,中華生めん,4玉
703013,卵,2個
703013,きゅうり,2本
703013,焼き豚,150g
703013,きくらげ,4枚
703013,水,1/2カップ
703013,酢,1/3カップ
703013,しょうゆ,大さじ4
703013,砂糖,大さじ4
703013,「AJINOMOTOごま油好きの純正ごま油」,小さじ2
703013,「丸鶏がらスープ」,小さじ1
703013,「AJINOMOTOごま油好きの純正ごま油」,適量
703013,いり白ごま,適量
703013,紅しょうが,適量
703014,ビーフン,200g
703014,豚薄切り肉,150g
703014,白菜,2枚
703014,さやえんどう,8枚
703014,しいたけ,4枚
703014,にんじん,1/4本
703014,ゆでたけのこ,1/4本（40g）
703014,きくらげ,2枚
703014,おろししょうが,小さじ2
703014,水,1カップ
703014,酒,大さじ2
703014,しょうゆ,小さじ1・1/2
703014,「丸鶏がらスープ」,小さじ1/2
703014,水,大さじ1/2
703014,片栗粉,大さじ1/2
703014,水,6カップ
703014,「丸鶏がらスープ」,大さじ2
703014,しょうゆ,小さじ1・1/2
703014,「瀬戸のほんじお」,小さじ1
703014,こしょう,少々
703014,「AJINOMOTOごま油好きの純正ごま油」,小さじ1
703016,豚薄切り肉,80g
703016,絹ごし豆腐,1/3丁
703016,ゆでたけのこ,80g
703016,にんじん,1/3本
703016,きくらげ,2枚
703016,わけぎ,1本
703016,溶き卵,1個分
703016,水,5カップ
703016,「丸鶏がらスープ」,大さじ1・1/2
703016,しょうゆ,大さじ1
703016,「瀬戸のほんじお」,小さじ1
703016,こしょう,少々
703016,水,大さじ1・1/2
703016,片栗粉,大さじ1・1/2
703016,酢,大さじ1
703017,生わかめ,40g
703017,鶏ささ身,3本（120g）
703017,しょうが・せん切り,20g
703017,小ねぎ,1本
703017,「丸鶏がらスープ」,大さじ1・2/3
703017,水,5カップ
703017,酒,大さじ2
703017,しょうゆ,小さじ2
703017,「瀬戸のほんじお」,小さじ1/2
703017,「AJINOMOTOごま油好きの純正ごま油」,小さじ1
703018,鶏もも肉,600g
703018,ゆでたけのこ・小,1個（50g）
703018,干し帆立貝柱,4個（32g）
703018,干ししいたけ,4枚
703018,中国ハム,50g
703018,えびだんご,4個
703018,うずらの卵の水煮缶,8個
703018,さやえんどう,12枚
703018,「丸鶏がらスープ」,大さじ1
703018,「瀬戸のほんじお」,小さじ2/3
703018,うま味調味料「味の素®」,少々
703018,こしょう,少々
703018,水,5カップ
703018,片栗粉,適量
703018,水,少々
703018,鶏油,少々
703021,木綿豆腐,2丁
703021,豚バラ薄切り肉,100g
703021,白菜キムチ,100g
703021,もやし,1袋
703021,玉ねぎ,1/2個（100g）
703021,にら,1束
703021,春菊,1/2束
703021,しょうゆ,大さじ3
703021,「AJINOMOTOごま油好きの純正ごま油」,大さじ1
703021,粉唐がらし,大さじ1・1/2
703021,ねぎ・みじん切り,大さじ1
703021,にんにく・みじん切り,小さじ1
703021,すりごま,少々
703021,こしょう,少々
703021,「丸鶏がらスープ」,小さじ2
703021,水,2カップ
703022,たらばがにの足,200g
703022,えび,8尾
703022,いか,1/3杯分（120g）
703022,かき（むき身）,120g
703022,牛肩ロース薄切り肉,100g
703022,えのきだけ,1袋
703022,ほうれん草,1/2束（100g）
703022,香菜,2株
703022,キャベツ,1/8個
703022,緑豆春雨,100g
703022,らっきょうの甘酢漬け・みじん切り,5個
703022,砂糖,小さじ1/2
703022,うま味調味料「味の素®」,少々
703022,ナンプラー,適量
703022,青唐がらし・みじん切り,適量
703022,「味の素KKコンソメチキン」固形タイプ,3個
703022,水,5カップ
703023,米,2・1/2カップ
703023,牛ひき肉,200g
703023,玉ねぎ,1/2個（100g）
703023,にんじん,1/3本
703023,ピーマン,1個（35g）
703023,干しぶどう,大さじ2
703023,にんにく,1/3かけ
703023,バター,大さじ1
703023,カレー粉,大さじ1・1/2
703023,「瀬戸のほんじお」,少々
703023,こしょう,少々
703023,「味の素KKコンソメ」固形タイプ,1・1/2個
703023,水,2・2/3カップ
703023,パセリのみじん切り,小さじ1
703024,かぼちゃ,400g
703024,水,1カップ
703024,「ほんだしいりこだし」8gスティック,1/2本
703024,砂糖,大さじ1
703024,しょうゆ,小さじ1
703028,味の素冷凍食品KK「やわらか若鶏から揚げボリュームパック」,3個
703028,溶き卵,1個分
703028,玉ねぎ・薄切り,1/4個（50g）
703028,めんつゆ（ストレートタイプ）,大さじ1
703028,さやいんげん,2本
703028,焼きのり,1/4枚
703028,ご飯・子供用ご飯茶碗,1・1/2杯分
703029,味の素冷凍食品KK「具だくさんエビピラフ」,1/4袋
703029,味の素冷凍食品KK「レモンとバジルのチキン香り揚げ」,2・1/3個
703029,サニーレタス,1枚
703029,パイナップル缶,1/2枚
703029,うずらの卵,1個
703029,ミニトマト,1個
703029,「AJINOMOTO大豆の油健康プラス」,小さじ1
703031,味の素冷凍食品KK「具だくさんエビピラフ」,1/4袋
703031,味の素冷凍食品KK「プリプリのエビシューマイ」,2個
703031,油揚げ,1枚
703031,「ほんだし」,小さじ1/3
703031,砂糖,大さじ1
703031,しょうゆ,小さじ2
703031,水,1/2カップ
703031,ミニトマト,2個
703031,サラダ菜,1枚
703033,冷凍ハンバーグ,2個（50g）
703033,ブロッコリー,4房（60g）
703033,スパゲッティ,60g
703033,トマトケチャップ,大さじ1・1/2
703033,「瀬戸のほんじお」,少々
703033,こしょう,少々
703033,りんご,1/8個
703033,キウイ,1/4個
703033,プレーンヨーグルト,大さじ2
703033,「AJINOMOTO大豆の油健康プラス」,小さじ1
703033,トマトケチャップ・持参用,適量
703037,冷凍ハンバーグ,6個（150g）
703037,スライスチーズ,1・1/2枚
703037,パセリのみじん切り,大さじ1
703037,こしょう,少々
703037,レモン,1/8個
703038,味の素冷凍食品KK「ギョーザ」,12個
703038,トマト,1/2個
703038,ピーマン,1個（35g）
703038,ミックスチーズ,大さじ3
703038,パセリ,適量
703040,味の素冷凍食品KK「やわらか若鶏から揚げボリュームパック」,6個
703040,ねぎ,1/3本
703040,赤唐がらし（乾）,1本
703040,ポン酢しょうゆ,大さじ2・1/2
703041,味の素冷凍食品KK「やわらか若鶏から揚げボリュームパック」,3個
703041,からし明太子,1/2腹
703041,小ねぎ,1本
703041,牛乳,大さじ1
703041,「ピュアセレクトマヨネーズ」,大さじ1/2
703041,「瀬戸のほんじお」,少々
703041,こしょう,少々
703043,味の素冷凍食品KK「やわらか若鶏から揚げボリュームパック」,3個
703043,梅干し,1個
703043,ねぎ,1/8本
703043,しょうゆ,大さじ1・1/2
703043,酒,小さじ1
703043,削り節,少々
703043,いり白ごま,小さじ1/2
703046,味の素冷凍食品KK「野菜たっぷり中華丼の具」（2個入り）,1個
703046,餃子の皮,4枚
